a,All times are coordinated in UTC,,American Meteor Society (AMS),URL:,https://fireball.amsmeteors.org/members/imo_view/browse_events,,,All Results Available at:,,,,,,,,,,,,
Dr. Alexander Mamishev,Recorded Data Time Frame:,,Field Capturing Data Coverage Sheet,AMS Time Frame,,,07/26/24 - 08/10/24,https://drive.google.com/drive/folders/1OTZ92XMpxfVJ3SL2E2dI4O2W1ofNq1eT?usp=drive_link,,,,,,,,,,,,
Dr. Sep Makhsous,Available Tasks (DO ASAP):,,,Update highlighter color as needed,,,,,,,,,,,,,,,,
Daniel Lopez,"(1) Will need to match AMS and NASA events by UTC time, Be sure to put a ⭐ and ""Match (#)"" to be able to cross ref database matches, pls check for any matches here too (under skyfall): https://fireballs.ndc.nasa.gov",,,,,,,,,,,,,,,,,,,
Xueyicheng Xu,"(2) Finish copying and pasting public available info from NASA database, Aim to copy up to Aug 14th. Aug 12th is the peak strength for PER",,,,,,,,,,,,,,,,,,,
Kiet Tran,"(3) finish adding time ranges in Notes for AMS events with multiple reports. Examples can be found at the bottom of the AMS table section, Please fill out the apparent magnitude section as well.",,,,,,,,,,,,,Total matched,Total Partially Matched,Total not matched,Total N/A,Total TBD,Total Doing,Total Done
Caleb Louis Ceravolo,Highlight markups:,Green = detetcion matches; Orange = good (Orange is priority); Stars (⭐) = database matches; yellow not as good; white = unassigned. Blue = camera detections,,,,,,Conclusion evaluation:,"Less than 3min deltaT will be regarded as ""Matched. Less than 5min deltaT will be regarded as ""Partially Matched"" ",,,,,71,5,19,49,74,0,95
Zheng Liu,Event ID,Reports,Time [UTC] (average time if multiple reports),State,Apparent Magnitude,"Apparent Duration (Longest, sec)",Notes,Result Archive URL,Conclusion,Signal Time,Delta T [Report] (≈),Signal Duration (≈),Comments,,,,,,,
For 20240726,Event 3672-2024,3,2024-07-26 01:51 UT,AL,-14 to -16,3.5,Good range but few reports and on the border of the range,,NA,,,,Not in the range,% matched,% Partially Matched,% not matched,% not processed,% TBD,% Doing,Total
Daily Break,Event 3647-2024,7,2024-07-26 06:11 UT,"CT, MA, NJ, NY, PA",-7 to -10,7.5,Contains video footage. This event is REALLY good.,,NA,,,,Not in the range,74.73684211,5.263157895,20,0,43.78698225,0,95
For 20240727,Event 3646-2024,9,2024-07-27 00:52 UT,"CT, MA, NH",-4 to -11,20,Has Video footage. During the day.,"Event 3689, 3646.xlsx",Matched,0:49:10,1 min,8.5sec,Use as example signal,,,,,,,
