,event,start_time,end_time,source
7,meteor,2024-07-26 01:50:59,2024-07-26 01:51:01,AMS
8,meteor,2024-07-26 06:10:59,2024-07-26 06:11:01,AMS
9,meteor,2024-07-27 00:51:59,2024-07-27 00:52:01,AMS
10,meteor,2024-07-27 01:13:59,2024-07-27 01:14:01,AMS
11,meteor,2024-07-27 01:42:59,2024-07-27 01:43:01,AMS
12,meteor,2024-07-27 01:59:59,2024-07-27 02:00:01,AMS
13,meteor,2024-07-27 05:15:59,2024-07-27 05:16:01,AMS
14,meteor,2024-07-27 05:55:59,2024-07-27 05:56:01,AMS
15,meteor,2024-07-27 08:45:59,2024-07-27 08:46:01,AMS
16,meteor,2024-07-28 03:01:59,2024-07-28 03:02:01,AMS
17,meteor,2024-07-28 05:18:59,2024-07-28 05:19:01,AMS
18,meteor,2024-07-28 05:19:59,2024-07-28 05:20:01,AMS
19,meteor,2024-07-28 06:40:59,2024-07-28 06:41:01,AMS
20,meteor,2024-07-29 05:06:59,2024-07-29 05:07:01,AMS
21,meteor,2024-07-29 05:47:59,2024-07-29 05:48:01,AMS
22,meteor,2024-07-30 02:14:59,2024-07-30 02:15:01,AMS
23,meteor,2024-07-30 02:28:59,2024-07-30 02:29:01,AMS
24,meteor,2024-07-30 03:39:59,2024-07-30 03:40:01,AMS
25,meteor,2024-07-30 02:59:59,2024-07-30 03:00:01,AMS
26,meteor,2024-07-30 04:25:59,2024-07-30 04:26:01,AMS
27,meteor,2024-07-30 05:48:59,2024-07-30 05:49:01,AMS
28,meteor,2024-07-30 06:46:59,2024-07-30 06:47:01,AMS
29,meteor,2024-07-31 01:20:59,2024-07-31 01:21:01,AMS
30,meteor,2024-07-31 04:49:59,2024-07-31 04:50:01,AMS
31,meteor,2024-07-31 06:09:59,2024-07-31 06:10:01,AMS
32,meteor,2024-07-31 02:53:59,2024-07-31 02:54:01,AMS
33,meteor,2024-08-01 03:29:59,2024-08-01 03:30:01,AMS
34,meteor,2024-08-01 04:41:59,2024-08-01 04:42:01,AMS
35,meteor,2024-08-02 01:11:59,2024-08-02 01:12:01,AMS
36,meteor,2024-08-02 01:12:59,2024-08-02 01:13:01,AMS
37,meteor,2024-08-02 02:51:59,2024-08-02 02:52:01,AMS
38,meteor,2024-08-02 03:14:59,2024-08-02 03:15:01,AMS
39,meteor,2024-08-02 03:44:59,2024-08-02 03:45:01,AMS
40,meteor,2024-08-02 03:46:59,2024-08-02 03:47:01,AMS
41,meteor,2024-08-02 05:17:59,2024-08-02 05:18:01,AMS
42,meteor,2024-08-02 06:11:59,2024-08-02 06:12:01,AMS
43,meteor,2024-08-03 00:33:59,2024-08-03 00:34:01,AMS
44,meteor,2024-08-03 01:46:59,2024-08-03 01:47:01,AMS
45,meteor,2024-08-03 02:40:59,2024-08-03 02:41:01,AMS
46,meteor,2024-08-03 03:22:59,2024-08-03 03:23:01,AMS
47,meteor,2024-08-03 04:54:59,2024-08-03 04:55:01,AMS
48,meteor,2024-08-05 02:00:59,2024-08-05 02:01:01,AMS
49,meteor,2024-08-05 02:19:59,2024-08-05 02:20:01,AMS
50,meteor,2024-08-05 02:19:59,2024-08-05 02:20:01,AMS
51,meteor,2024-08-05 02:20:59,2024-08-05 02:21:01,AMS
52,meteor,2024-08-05 03:05:59,2024-08-05 03:06:01,AMS
53,meteor,2024-08-05 03:24:59,2024-08-05 03:25:01,AMS
54,meteor,2024-08-05 05:17:59,2024-08-05 05:18:01,AMS
55,meteor,2024-08-06 01:53:59,2024-08-06 01:54:01,AMS
56,meteor,2024-08-06 02:31:59,2024-08-06 02:32:01,AMS
57,meteor,2024-08-06 03:52:59,2024-08-06 03:53:01,AMS
58,meteor,2024-08-06 03:37:59,2024-08-06 03:38:01,AMS
59,meteor,2024-08-06 03:58:59,2024-08-06 03:59:01,AMS
60,meteor,2024-08-06 06:59:59,2024-08-06 07:00:01,AMS
61,meteor,2024-08-06 09:59:59,2024-08-06 10:00:01,AMS
62,meteor,2024-08-07 03:56:59,2024-08-07 03:57:01,AMS
63,meteor,2024-08-08 01:52:59,2024-08-08 01:53:01,AMS
64,meteor,2024-08-08 01:59:59,2024-08-08 02:00:01,AMS
65,meteor,2024-08-08 02:04:59,2024-08-08 02:05:01,AMS
66,meteor,2024-08-08 03:06:59,2024-08-08 03:07:01,AMS
67,meteor,2024-08-08 03:59:59,2024-08-08 04:00:01,AMS
68,meteor,2024-08-08 04:45:59,2024-08-08 04:46:01,AMS
69,meteor,2024-08-08 05:32:59,2024-08-08 05:33:01,AMS
70,meteor,2024-08-08 07:08:59,2024-08-08 07:09:01,AMS
71,meteor,2024-08-09 06:34:59,2024-08-09 06:35:01,AMS
72,meteor,2024-08-10 01:43:59,2024-08-10 01:44:01,AMS
73,meteor,2024-08-10 01:44:59,2024-08-10 01:45:01,AMS
74,meteor,2024-08-10 02:52:59,2024-08-10 02:53:01,AMS
75,meteor,2024-08-10 03:04:59,2024-08-10 03:05:01,AMS
76,meteor,2024-08-10 07:27:59,2024-08-10 07:28:01,AMS
77,meteor,2024-08-10 09:04:59,2024-08-10 09:05:01,AMS
78,meteor,2024-08-10 09:54:59,2024-08-10 09:55:01,AMS
79,meteor,2024-08-10 13:49:59,2024-08-10 13:50:01,AMS
80,meteor,2024-08-10 14:00:59,2024-08-10 14:01:01,AMS
81,meteor,2024-08-10 22:09:59,2024-08-10 22:10:01,AMS
82,meteor,2024-08-10 22:14:59,2024-08-10 22:15:01,AMS
83,meteor,2024-08-10 23:19:59,2024-08-10 23:20:01,AMS
85,meteor,2024-08-11 01:15:59,2024-08-11 01:16:01,AMS
86,meteor,2024-08-11 01:47:59,2024-08-11 01:48:01,AMS
87,meteor,2024-08-11 02:00:59,2024-08-11 02:01:01,AMS
88,meteor,2024-08-11 02:45:59,2024-08-11 02:46:01,AMS
89,meteor,2024-08-11 02:59:59,2024-08-11 03:00:01,AMS
90,meteor,2024-08-11 03:07:59,2024-08-11 03:08:01,AMS
91,meteor,2024-08-11 03:21:59,2024-08-11 03:22:01,AMS
92,meteor,2024-08-11 03:46:59,2024-08-11 03:47:01,AMS
93,meteor,2024-08-11 03:47:59,2024-08-11 03:48:01,AMS
94,meteor,2024-08-11 04:11:59,2024-08-11 04:12:01,AMS
95,meteor,2024-08-11 04:29:59,2024-08-11 04:30:01,AMS
96,meteor,2024-08-11 04:33:59,2024-08-11 04:34:01,AMS
97,meteor,2024-08-11 05:22:59,2024-08-11 05:23:01,AMS
98,meteor,2024-08-11 05:26:59,2024-08-11 05:27:01,AMS
99,meteor,2024-08-11 07:28:59,2024-08-11 07:29:01,AMS
100,meteor,2024-08-11 09:00:59,2024-08-11 09:01:01,AMS
101,meteor,2024-08-11 09:14:59,2024-08-11 09:15:01,AMS
102,meteor,2024-08-11 09:26:59,2024-08-11 09:27:01,AMS
103,meteor,2024-08-11 11:44:59,2024-08-11 11:45:01,AMS
104,meteor,2024-08-11 14:04:59,2024-08-11 14:05:01,AMS
105,meteor,2024-08-11 16:39:59,2024-08-11 16:40:01,AMS
106,meteor,2024-08-11 22:08:59,2024-08-11 22:09:01,AMS
107,meteor,2024-08-11 22:44:59,2024-08-11 22:45:01,AMS
108,meteor,2024-08-11 22:53:59,2024-08-11 22:54:01,AMS
109,meteor,2024-08-11 23:55:59,2024-08-11 23:56:01,AMS
110,meteor,2024-08-12 02:14:59,2024-08-12 02:15:01,AMS
111,meteor,2024-08-12 03:25:59,2024-08-12 03:26:01,AMS
112,meteor,2024-08-12 03:26:59,2024-08-12 03:27:01,AMS
113,meteor,2024-08-12 04:11:59,2024-08-12 04:12:01,AMS
114,meteor,2024-08-12 04:13:59,2024-08-12 04:14:01,AMS
115,meteor,2024-08-12 04:19:59,2024-08-12 04:20:01,AMS
116,meteor,2024-08-12 04:24:59,2024-08-12 04:25:01,AMS
117,meteor,2024-08-12 04:29:59,2024-08-12 04:30:01,AMS
118,meteor,2024-08-12 04:28:59,2024-08-12 04:29:01,AMS
119,meteor,2024-08-12 04:34:59,2024-08-12 04:35:01,AMS
120,meteor,2024-08-12 05:14:59,2024-08-12 05:15:01,AMS
121,meteor,2024-08-12 05:46:59,2024-08-12 05:47:01,AMS
122,meteor,2024-08-12 06:09:59,2024-08-12 06:10:01,AMS
123,meteor,2024-08-12 06:24:59,2024-08-12 06:25:01,AMS
124,meteor,2024-08-12 06:47:59,2024-08-12 06:48:01,AMS
125,meteor,2024-08-12 07:48:59,2024-08-12 07:49:01,AMS
126,meteor,2024-08-12 09:25:59,2024-08-12 09:26:01,AMS
127,meteor,2024-08-12 09:29:59,2024-08-12 09:30:01,AMS
128,meteor,2024-08-12 10:14:59,2024-08-12 10:15:01,AMS
129,meteor,2024-08-12 13:19:59,2024-08-12 13:20:01,AMS
131,meteor,2024-08-12 20:14:59,2024-08-12 20:15:01,AMS
133,meteor,2024-08-12 22:56:59,2024-08-12 22:57:01,AMS
134,meteor,2024-08-13 01:48:59,2024-08-13 01:49:01,AMS
135,meteor,2024-08-13 02:28:59,2024-08-13 02:29:01,AMS
136,meteor,2024-08-13 03:11:59,2024-08-13 03:12:01,AMS
137,meteor,2024-08-13 03:29:59,2024-08-13 03:30:01,AMS
138,meteor,2024-08-13 04:31:59,2024-08-13 04:32:01,AMS
139,meteor,2024-08-13 04:27:59,2024-08-13 04:28:01,AMS
140,meteor,2024-08-13 04:53:59,2024-08-13 04:54:01,AMS
141,meteor,2024-08-13 05:15:59,2024-08-13 05:16:01,AMS
142,meteor,2024-08-13 06:28:59,2024-08-13 06:29:01,AMS
143,meteor,2024-08-13 06:29:59,2024-08-13 06:30:01,AMS
144,meteor,2024-08-13 07:01:59,2024-08-13 07:02:01,AMS
149,meteor,2024-08-14 00:56:59,2024-08-14 00:57:01,AMS
150,meteor,2024-08-14 00:59:59,2024-08-14 01:00:01,AMS
151,meteor,2024-08-14 02:16:59,2024-08-14 02:17:01,AMS
152,meteor,2024-08-14 02:44:59,2024-08-14 02:45:01,AMS
153,meteor,2024-08-14 03:19:59,2024-08-14 03:20:01,AMS
158,meteor,2024-08-15 00:59:59,2024-08-15 01:00:01,AMS
161,meteor,2024-08-16 01:09:59,2024-08-16 01:10:01,AMS
163,meteor,2024-08-16 06:17:59,2024-08-16 06:18:01,AMS
164,meteor,2024-08-16 06:49:59,2024-08-16 06:50:01,AMS
165,meteor,2024-08-16 08:29:59,2024-08-16 08:30:01,AMS
166,meteor,2024-08-16 22:42:59,2024-08-16 22:43:01,AMS
167,meteor,2024-08-17 02:09:59,2024-08-17 02:10:01,AMS
168,meteor,2024-08-17 02:42:59,2024-08-17 02:43:01,AMS
169,meteor,2024-08-17 06:22:59,2024-08-17 06:23:01,AMS
170,meteor,2024-08-18 01:14:59,2024-08-18 01:15:01,AMS
172,meteor,2024-08-18 07:32:59,2024-08-18 07:33:01,AMS
173,meteor,2024-08-18 09:59:59,2024-08-18 10:00:01,AMS
174,meteor,2024-08-19 03:39:59,2024-08-19 03:40:01,AMS
175,meteor,2024-08-19 04:46:59,2024-08-19 04:47:01,AMS
176,meteor,2024-08-19 05:59:59,2024-08-19 06:00:01,AMS
177,meteor,2024-08-19 08:33:59,2024-08-19 08:34:01,AMS
178,meteor,2024-08-20 01:14:59,2024-08-20 01:15:01,AMS
179,meteor,2024-08-20 02:09:59,2024-08-20 02:10:01,AMS
180,meteor,2024-08-20 04:49:59,2024-08-20 04:50:01,AMS
181,meteor,2024-08-20 05:14:59,2024-08-20 05:15:01,AMS
182,meteor,2024-08-20 14:59:59,2024-08-20 15:00:01,AMS
